City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,San Cristobal,VE,2021-04-19 01:08:02,7.7669,-72.225,84.2,54,40,6.91
147,Chokurdakh,RU,2021-04-19 01:08:02,70.6333,147.9167,10.83,90,66,13.04
148,Ati,TD,2021-04-19 01:08:02,13.2154,18.3353,82.02,7,28,10.27
149,Sao Jose Da Coroa Grande,BR,2021-04-19 01:08:03,-8.8978,-35.1478,77.74,82,99,6.69
150,Victoria,HK,2021-04-19 01:08:03,22.2855,114.1577,73.0,69,100,1.01
151,Butterworth,MY,2021-04-19 01:08:04,5.3991,100.3638,84.2,89,20,2.3
152,Punta Cardon,VE,2021-04-19 01:08:04,11.6581,-70.215,78.1,81,92,32.84
153,Cockburn Town,TC,2021-04-19 01:08:04,21.4612,-71.1419,78.8,83,20,9.22
154,Scalea,IT,2021-04-19 01:08:05,39.813,15.7956,50.0,85,100,1.01
155,Roald,NO,2021-04-19 01:08:05,62.5833,6.1333,43.0,87,18,6.91
156,Isangel,VU,2021-04-19 01:08:05,-19.55,169.2667,80.6,94,75,11.5
157,Tilichiki,RU,2021-04-19 01:08:06,60.4667,166.1,31.5,96,93,1.63
158,Kasamwa,TZ,2021-04-19 01:08:06,-2.85,32.4333,64.44,92,99,5.19
159,Dzaoudzi,YT,2021-04-19 01:08:07,-12.7887,45.2699,80.6,89,0,8.7
160,Hambantota,LK,2021-04-19 01:03:37,6.1241,81.1185,73.4,100,20,1.14
161,Kirakira,SB,2021-04-19 01:08:07,-10.4544,161.9205,85.77,69,100,7.0
162,Ponta Delgada,PT,2021-04-19 01:08:08,37.7333,-25.6667,57.2,88,20,4.61
163,Constitucion,CL,2021-04-19 01:04:28,-35.3333,-72.4167,54.7,77,13,4.61
164,Kabo,CF,2021-04-19 01:08:08,7.6994,18.629,75.51,59,87,5.19
165,Ampanihy,MG,2021-04-19 01:08:09,-24.7,44.75,60.21,72,0,8.43
166,Sambava,MG,2021-04-19 01:08:09,-14.2667,50.1667,76.15,89,90,15.43
167,Kota Tinggi,MY,2021-04-19 01:08:09,1.7381,103.8999,82.4,78,75,3.44
168,Nioro,GM,2021-04-19 01:08:10,13.35,-15.75,82.42,35,47,4.25
169,Quatre Cocos,MU,2021-04-19 01:08:10,-20.2078,57.7625,78.8,83,40,11.5
170,Tezu,IN,2021-04-19 01:08:11,27.9167,96.1667,68.63,70,96,5.93
171,Flinders,AU,2021-04-19 01:06:33,-34.5833,150.8552,71.01,52,6,4.0
172,Fort Nelson,CA,2021-04-19 01:08:11,58.8053,-122.7002,51.8,25,20,3.44
173,Pevek,RU,2021-04-19 01:08:12,69.7008,170.3133,28.45,79,100,7.47
174,Bestobe,KZ,2021-04-19 01:08:12,52.4994,73.0975,24.35,54,6,16.02
175,Mount Isa,AU,2021-04-19 01:08:12,-20.7333,139.5,80.6,24,5,11.5
176,Longyearbyen,SJ,2021-04-19 01:08:13,78.2186,15.6401,28.4,93,90,9.22
177,Lebu,CL,2021-04-19 01:08:13,-37.6167,-73.65,55.44,86,67,10.02
178,Corpus Christi,US,2021-04-19 01:08:13,27.8006,-97.3964,64.4,77,90,10.29
179,Nsanje,MW,2021-04-19 01:08:07,-16.92,35.262,62.82,97,60,2.75
180,Meulaboh,ID,2021-04-19 01:08:14,4.1363,96.1285,76.64,86,100,1.92
181,Puerto Colombia,CO,2021-04-19 01:08:10,10.9878,-74.9547,78.8,89,40,3.44
182,Saint Anthony,US,2021-04-19 01:08:15,45.0205,-93.218,46.99,76,90,17.27
183,Bairiki,KI,2021-04-19 01:08:15,1.3292,172.9752,86.0,74,20,6.91
184,Bilibino,RU,2021-04-19 01:08:15,68.0546,166.4372,26.73,87,100,16.71
185,Dhidhdhoo,MV,2021-04-19 01:08:16,6.8833,73.1,83.98,71,66,6.35
186,Trelew,AR,2021-04-19 01:07:28,-43.249,-65.3051,67.96,51,100,9.98
187,Kompaniyivka,UA,2021-04-19 01:08:16,48.2511,32.208,44.98,84,100,6.29
188,Yumen,CN,2021-04-19 01:08:17,40.2833,97.2,53.02,32,67,13.38
189,Ornskoldsvik,SE,2021-04-19 01:08:17,63.2909,18.7153,26.6,93,11,3.44
190,Honningsvag,NO,2021-04-19 01:08:17,70.9821,25.9704,36.3,80,87,19.89
191,Athabasca,CA,2021-04-19 01:06:45,54.7169,-113.2854,42.8,39,100,11.5
192,Avera,US,2021-04-19 01:08:18,33.194,-82.5271,66.2,55,1,4.18
193,Lingao,CN,2021-04-19 01:08:18,19.9103,109.6859,78.62,80,54,11.27
194,Daru,PG,2021-04-19 01:08:19,-9.0763,143.2092,80.83,81,100,9.22
195,Hirado,JP,2021-04-19 01:08:19,33.3597,129.5531,55.4,71,20,5.75
196,Tambacounda,SN,2021-04-19 01:08:20,13.7539,-13.7586,94.55,13,100,4.68
197,Tiksi,RU,2021-04-19 01:08:20,71.6872,128.8694,10.74,82,95,11.68
198,Paragominas,BR,2021-04-19 01:08:20,-2.9667,-47.4833,72.43,96,100,2.77
199,Asfi,MA,2021-04-19 01:08:21,32.2994,-9.2372,60.96,79,0,10.29
200,Ust-Tarka,RU,2021-04-19 01:08:21,55.5672,75.705,15.46,57,100,16.33
201,Ostrovnoy,RU,2021-04-19 01:08:22,68.0531,39.5131,29.48,80,100,19.46
202,Seoul,KR,2021-04-19 01:05:20,37.5683,126.9778,53.6,62,0,6.91
203,Pingxiang,CN,2021-04-19 01:08:22,27.6167,113.85,57.22,92,100,2.24
204,Aasiaat,GL,2021-04-19 01:08:23,68.7098,-52.8699,2.48,93,98,12.19
205,Oktyabrskoye,RU,2021-04-19 01:08:23,43.0645,44.7417,48.2,93,100,2.24
206,Kokkola,FI,2021-04-19 01:08:23,63.8385,23.1307,43.0,86,0,3.44
207,Maldonado,UY,2021-04-19 01:08:24,-34.6667,-54.9167,66.2,82,0,10.36
208,Rocha,UY,2021-04-19 01:08:24,-34.4833,-54.3333,58.42,93,87,6.31
209,Port Blair,IN,2021-04-19 01:08:25,11.6667,92.75,82.62,72,16,5.97
210,Grindavik,IS,2021-04-19 01:04:20,63.8424,-22.4338,32.0,74,40,8.05
211,Srednekolymsk,RU,2021-04-19 01:04:09,67.45,153.6833,25.23,77,55,8.28
212,La Peca,PE,2021-04-19 01:08:25,-5.6111,-78.435,70.02,85,94,4.21
213,Dikson,RU,2021-04-19 01:08:26,73.5069,80.5464,-8.88,100,100,6.91
214,Karasburg,NA,2021-04-19 01:08:26,-28.0167,18.75,71.29,32,0,9.19
215,Qiongshan,CN,2021-04-19 01:08:27,20.0058,110.3542,75.2,100,40,6.71
216,Talcahuano,CL,2021-04-19 01:08:27,-36.7167,-73.1167,55.4,88,40,3.96
217,Hamilton,US,2021-04-19 01:06:09,39.1834,-84.5333,54.0,58,1,2.3
218,Pizarro,CO,2021-04-19 01:08:28,4.9533,-77.366,77.76,87,100,4.05
219,Soe,ID,2021-04-19 01:08:28,-9.8607,124.284,74.57,55,100,3.31
220,Kavieng,PG,2021-04-19 01:08:28,-2.5744,150.7967,83.91,72,97,6.64
221,Chapais,CA,2021-04-19 01:08:29,49.7834,-74.8492,42.8,65,90,5.75
222,Guerrero Negro,MX,2021-04-19 01:03:44,27.9769,-114.0611,64.31,69,0,17.96
223,Waddan,LY,2021-04-19 01:08:02,29.1614,16.139,61.14,66,37,10.09
224,Kaeo,NZ,2021-04-19 01:08:29,-35.1,173.7833,65.64,53,53,5.86
225,Faanui,PF,2021-04-19 01:08:30,-16.4833,-151.75,82.67,69,0,13.18
226,Wanaka,NZ,2021-04-19 01:08:30,-44.7,169.15,54.57,75,100,8.12
227,Faya,SA,2021-04-19 01:08:31,18.3851,42.4509,62.6,23,0,4.61
228,Souillac,MU,2021-04-19 01:08:31,-20.5167,57.5167,78.8,83,40,11.5
229,Bud,US,2021-04-19 01:08:31,39.447,-86.1758,54.0,58,100,4.9
230,Primorskiy,RU,2021-04-19 01:08:32,43.0983,131.5875,53.6,43,0,3.29
231,Lagoa,PT,2021-04-19 01:08:32,39.05,-27.9833,60.67,85,100,10.8
232,Makhu,IN,2021-04-19 01:08:33,31.1033,74.9978,71.58,37,71,4.56
233,Dingle,PH,2021-04-19 01:08:01,10.9995,122.6711,81.21,69,100,3.78
234,Vangaindrano,MG,2021-04-19 01:06:18,-23.35,47.6,66.49,68,91,3.42
235,Narasannapeta,IN,2021-04-19 01:08:34,18.4167,84.05,81.59,81,5,7.4
236,Marawi,PH,2021-04-19 01:08:34,7.9986,124.2928,84.99,65,100,7.0
237,Lorengau,PG,2021-04-19 01:08:35,-2.0226,147.2712,81.93,77,100,9.86
238,Cherskiy,RU,2021-04-19 01:08:35,68.75,161.3,22.53,80,59,16.6
239,Marquette,US,2021-04-19 01:08:35,46.5333,-87.6335,45.0,55,100,1.01
240,Sao Filipe,CV,2021-04-19 01:08:36,14.8961,-24.4956,72.43,71,20,7.96
241,San Quintin,MX,2021-04-19 01:08:36,30.4833,-115.95,66.51,58,0,9.04
242,Andilamena,MG,2021-04-19 01:08:37,-17.0167,48.5833,60.75,93,100,8.1
243,Tura,IN,2021-04-19 01:08:37,25.5198,90.2201,69.31,85,0,4.09
244,Saldanha,ZA,2021-04-19 01:08:38,-33.0117,17.9442,64.4,82,44,6.91
245,Sola,VU,2021-04-19 01:08:38,-13.8833,167.55,87.8,79,40,4.61
246,Talnakh,RU,2021-04-19 01:08:39,69.4865,88.3972,-9.65,91,56,3.18
247,Aksha,RU,2021-04-19 01:08:39,50.2814,113.2867,36.14,20,61,3.58
248,Maragogi,BR,2021-04-19 01:08:39,-9.0122,-35.2225,77.2,84,100,6.38
249,Simav,TR,2021-04-19 01:08:40,39.0882,28.9777,54.34,89,100,4.97
250,Batagay-Alyta,RU,2021-04-19 01:08:40,67.8006,130.4114,11.28,85,100,4.32
251,Xinqing,CN,2021-04-19 01:05:16,48.2333,129.5,56.03,29,0,6.71
252,Twin Falls,US,2021-04-19 01:08:41,42.3505,-114.6445,66.2,16,1,19.57
253,Ukiah,US,2021-04-19 01:07:17,39.1502,-123.2078,80.6,14,1,10.36
254,Oromocto,CA,2021-04-19 01:04:10,45.8351,-66.4792,42.8,75,90,4.63
255,Cozumel,MX,2021-04-19 01:08:42,20.5083,-86.9458,82.4,83,75,10.36
256,Tuatapere,NZ,2021-04-19 01:08:42,-46.1333,167.6833,64.0,69,94,5.01
257,Namibe,AO,2021-04-19 01:08:43,-15.1961,12.1522,81.45,68,0,2.62
258,Havelock,US,2021-04-19 01:08:43,34.8791,-76.9013,64.99,77,75,3.44
259,Andenes,NO,2021-04-19 01:08:43,69.3143,16.1194,41.0,70,2,16.11
260,Lavrentiya,RU,2021-04-19 01:08:44,65.5833,-171.0,31.44,87,85,5.03
